ID,Recency,Frequency,Monetary
00005241,4.270291,-24.495451,4770.528
00006668,7.6612706,-20.560186,9557.853
00010801,10.683796,-15.009726,12093.653
00011235,8.274048,-16.692335,9128.9
00011914,8.875337,-18.288286,13426.442
00012249,3.103605,-24.58054,6484.43
00016666,5.2757835,-23.889189,3972.797
00018163,9.570588,-16.243353,6596.517
00019863,5.284303,-25.786648,6208.1533
00020066,2.573363,-21.971268,3989.5159
00020220,9.274778,-16.657747,20555.29
00020459,10.643073,-18.808565,39324.06
00020695,8.817048,-16.440434,7469.48
00020694,8.221586,-18.1075,9636.449
00020800,4.118721,-23.453691,8306.319
00020848,4.6646028,-22.904453,1858.9175
00020869,4.4169564,-22.893038,772.0793
00021951,4.8766236,-24.722065,10985.008
00022514,6.301234,-20.58918,4282.045
00022629,2.6811166,-26.16651,13935.169
00022934,4.478139,-22.400276,2535.0369
00023068,9.990264,-14.328936,14528.348
00023206,3.790662,-21.97988,1464.265
00023464,9.784931,-16.164886,10144.704
00023661,4.56119,-23.836437,3741.238
00023695,10.489759,-15.741699,10491.314
00023801,8.507443,-18.971853,9443.294
00023863,3.8369403,-23.97407,5997.302
00024532,9.32374,-17.18772,8553.848
00024914,4.7990217,-23.010864,2436.823
00025058,8.581973,-16.757376,16679.172
00025096,3.812793,-23.394136,-72.52163
00025386,3.4196446,-23.975866,3335.4128
00025566,4.651792,-24.951542,8106.821
00025683,10.2535,-17.086536,11411.181
00025805,4.343969,-23.121834,3272.756
00026000,6.836652,-20.278831,14354.538
00026062,9.249381,-15.577129,5726.7866
00026321,10.561278,-14.658623,8178.651
00026499,7.6892605,-19.63596,8115.175
00026550,9.062848,-20.12762,15738.651
00026243,8.603741,-17.68263,7774.4087
00026335,9.098506,-16.674217,7549.0024
00026908,3.866646,-26.524897,8865.783
00028546,9.562912,-17.145844,8964.517
00028653,11.036422,-16.204386,9026.883
00029018,10.775118,-12.52252,6803.0024
00029116,3.6442866,-22.498882,-573.49274
00029209,7.7274404,-17.622797,4471.1265
00029366,10.460055,-15.37639,8185.677
00029421,10.666021,-16.39961,11638.614
00029599,6.94093,-22.157072,7032.7036
00029964,7.5070486,-22.053152,6413.0176
00030045,9.569629,-14.082703,9821.623
00030106,2.8290412,-24.80411,11340.805
00030908,11.574223,-14.07329,10717.166
00032100,9.920217,-14.705214,12060.315
00032664,3.6125882,-25.478758,9058.504
00032826,9.9571,-16.376019,12917.947
00032896,9.855605,-16.550642,11925.358
00033169,5.830843,-20.484737,4309.0454
00033268,9.514842,-15.161072,9579.524
00033660,6.3285384,-23.35481,13070.739
00036450,4.8915834,-24.118011,2987.3462
00038386,4.1480103,-25.17261,2757.8555
00038682,4.6405787,-23.901438,1864.6841
00039215,9.992745,-14.871813,6426.474
00039932,6.8522773,-23.22868,6954.1655
00040068,3.6872535,-21.86039,1457.3302
00040150,4.269196,-23.061453,5142.061
00040181,7.114403,-19.23517,10393.956
00040198,9.314719,-15.446379,13692.073
00040242,3.6143413,-24.098906,8684.901
00040266,3.9477808,-23.153383,4188.9565
00040488,4.3487697,-22.885927,2882.6973
00040662,5.725863,-22.302303,10109.809
00040906,10.718087,-14.806885,9738.571
00041133,2.7836914,-20.22837,4077.2761
00041161,9.344356,-15.92956,10762.798
00041263,8.546134,-17.193321,10472.798
00041636,6.151098,-24.958773,25760.463
00042093,8.237794,-16.939524,5914.2983
00042208,9.524029,-15.362251,11742.864
